Date,Team 1,Team 2,Score 1,Score 2
1/7/2026,Missouri St.,Kennesaw St.,80,90
1/7/2026,Missouri,Kentucky,73,68
1/7/2026,Boston University,Lafayette,83,67
1/7/2026,Holy Cross,Lehigh,58,66
1/7/2026,Davidson,Loyola Chicago,79,64
1/7/2026,Xavier,Marquette,65,66
1/7/2026,Indiana,Maryland,84,66
1/7/2026,The Citadel,Mercer,63,101
1/7/2026,Arkansas,Mississippi,94,87
1/7/2026,Oklahoma,Mississippi St.,53,72
1/7/2026,Bucknell,Navy,55,76
1/7/2026,South Florida,North Texas,74,70
1/7/2026,Belmont,Northern Iowa,78,65
1/7/2026,Connecticut,Providence,103,98
1/7/2026,Washington,Purdue,73,81
1/7/2026,Presbyterian,Radford,61,80
1/7/2026,La Salle,Rhode Island,79,72
1/7/2026,Duquesne,Saint Joseph's,90,97
1/7/2026,Western Carolina,Samford,77,82
1/7/2026,Richmond,St. Bonaventure,89,80
1/7/2026,South Dakota,St. Thomas,86,99
1/7/2026,East Carolina,Temple,67,75
1/7/2026,Florida Atlantic,UAB,76,71
1/7/2026,Longwood,UNC Asheville,61,72
1/7/2026,Charlotte,UTSA,74,58
1/7/2026,Illinois St.,Valparaiso,71,77
1/7/2026,Alabama,Vanderbilt,90,96
1/7/2026,Saint Louis,VCU,71,62
1/7/2026,Creighton,Villanova,76,72
1/7/2026,California,Virginia,60,84
1/7/2026,Stanford,Virginia Tech,69,68
1/7/2026,Miami FL,Wake Forest,81,77
1/7/2026,Rice,Wichita St.,66,64
1/7/2026,Charleston Southern,Winthrop,77,81
1/7/2026,UNC Greensboro,Wofford,85,97
1/7/2026,Purdue Fort Wayne,Youngstown St.,71,69
1/8/2026,Central Arkansas,Bellarmine,78,84
1/8/2026,UMass Lowell,Bryant,77,63
1/8/2026,Utah Tech,Cal Baptist,72,84
1/8/2026,UC Riverside,Cal St. Bakersfield,66,67
1/8/2026,Hampton,Campbell,72,86
1/8/2026,Stonehill,Central Connecticut,69,76
1/8/2026,Old Dominion,Coastal Carolina,70,66
1/8/2026,Cal Poly,CSUN,90,95
1/8/2026,Stony Brook,Drexel,37,56
1/8/2026,Tennessee Tech,Eastern Illinois,61,71
1/8/2026,North Alabama,Eastern Kentucky,80,88
1/8/2026,Montana St.,Eastern Washington,68,64
1/8/2026,Chicago St.,Fairleigh Dickinson,63,70
